sl,tp,n,pf,exp,net,mdd,wr
20.0,10.0,25,2.027518001732947,4.126799999999999,103.16999999999999,29.78,80.0
20.0,15.0,25,2.3917587389077504,6.70644,167.661,24.72,76.0
20.0,20.0,25,3.2310259241119974,10.750599999999999,268.765,20.340000000000003,76.0
20.0,25.0,25,3.917288552051599,14.05748,351.437,20.340000000000003,76.0
20.0,25.5,25,3.9880133148497108,14.39828,359.957,20.340000000000003,76.0
20.0,30.0,25,3.1135574445841168,13.58544,339.636,20.340000000000003,68.0
20.0,35.0,25,3.015481961637422,14.60128,365.032,40.459999999999994,64.0
20.0,50.0,25,3.051236062670547,18.16148,454.03700000000003,60.22399999999999,56.00000000000001
20.0,75.0,25,2.766682590334971,18.49116,462.27900000000005,60.22399999999999,48.0
20.0,100.0,25,2.448224206173125,16.31888,407.972,65.661,44.0
25.0,3.0,25,1.4464086193136474,0.8949599999999998,22.373999999999995,46.97,92.0
25.0,5.0,25,2.373563447725459,2.7537199999999995,68.84299999999999,45.09,92.0
25.0,10.0,25,2.1356287425149696,4.5516000000000005,113.79,39.52,84.0
25.0,15.0,25,2.4211186275527723,7.1173600000000015,177.93400000000003,34.46,80.0
25.0,20.0,25,3.27278027586317,11.38272,284.56800000000004,29.416000000000004,80.0
25.0,25.0,25,3.9727571142188527,14.8884,372.21000000000004,25.120000000000005,80.0
25.0,25.5,25,4.040804427867452,15.2292,380.73,25.120000000000005,80.0
25.0,30.0,25,3.021116619519497,14.203679999999999,355.092,25.414000000000016,72.0
25.0,35.0,25,2.4177734098314208,12.810319999999999,320.258,50.03,64.0
25.0,50.0,25,2.445611633751204,15.96892,399.223,75.49399999999997,56.00000000000001
25.0,75.0,25,2.2176327695903497,15.8998,397.495,75.49400000000003,48.0
25.0,100.0,25,1.9611147761007288,13.52004,338.001,91.22499999999997,44.0
30.0,3.0,25,1.1935133355284822,0.47015999999999986,11.753999999999996,57.59,92.0
30.0,5.0,25,1.958561080013171,2.3289199999999997,58.22299999999999,55.71,92.0
30.0,10.0,25,1.7702680344142951,3.7244,93.11,50.14,84.0
30.0,15.0,25,2.004503074786748,6.07644,151.911,45.08,80.0
30.0,20.0,25,2.7096144944786085,10.341800000000001,258.545,40.036,80.0
30.0,25.0,25,3.289142365932684,13.847480000000001,346.187,35.707,80.0
30.0,25.5,25,3.3454803941016995,14.188280000000002,354.70700000000005,34.888999999999996,80.0
30.0,30.0,25,2.50944618323137,12.770760000000001,319.269,30.71,72.0
30.0,35.0,25,2.0096777279785694,10.975520000000001,274.38800000000003,60.17,64.0
