set,sl,tp,n_tr,net_tr,exp_tr,pf_tr,dd_tr,mar_tr,r2_tr,t_tr,n_te,net_te,exp_te,pf_te,dd_te,mar_te,r2_te,n_f,net_f,exp_f,pf_f,dd_f,mar_f,r2_f,t_f
A_short_only,3,15,65,-45.918000000000006,-0.7064307692307693,0.7484510329186319,68.142,-0.6738575327991548,0.7740065722360331,-0.8838972407619893,36,33.96600000000001,0.9435000000000002,1.3875892918273731,32.023999999999994,1.0606420184861358,0.2318348492078248,101,-11.951999999999995,-0.11833663366336629,0.9557620061071526,92.97900000000001,-0.12854515535766134,0.7054394155784104,-0.17144583202133812
A_short_only,3,20,65,-12.106000000000003,-0.1862461538461539,0.9336806525657249,56.642,-0.21372832880194914,0.0653017305267961,-0.1860426127023891,36,3.8660000000000014,0.10738888888888892,1.0397597548182733,37.56699999999999,0.10290946841642937,0.04566786239132614,101,-8.239999999999998,-0.08158415841584157,0.9705477615941381,68.191,-0.12083706060917127,0.30694656794561986,-0.10153337183691827
A_short_only,3,25,65,-28.602000000000007,-0.44003076923076934,0.845961622352314,75.83500000000001,-0.3771609415177689,0.10524824553662672,-0.41932247608603324,36,0.12600000000000833,0.0035000000000002312,1.0012569330832768,40.277,0.003128336271321308,0.006145896113194195,101,-28.475999999999992,-0.28194059405940586,0.9004074495059894,100.78199999999998,-0.2825504554384711,0.5413164395738348,-0.3289586053350949
A_short_only,3,30,65,-33.69699999999999,-0.5184153846153844,0.8214141863817519,75.83500000000001,-0.44434627810377775,0.2545166247386745,-0.4615410325052253,36,-11.940999999999999,-0.3316944444444444,0.8843643476913542,68.41699999999999,-0.17453264539515034,0.2740623898299858,101,-45.63799999999999,-0.45186138613861376,0.8436797829780238,112.905,-0.4042159337496124,0.6558890305775845,-0.49697852460100245
A_short_only,3,40,65,-101.039,-1.5544461538461538,0.49192165539436294,104.56800000000001,-0.9662516257363628,0.8684797219719083,-1.581082170254273,36,16.985999999999997,0.47183333333333327,1.1644910133250699,68.417,0.24827162839645112,0.019916802026093656,101,-84.053,-0.8322079207920792,0.7217976427287681,150.546,-0.5583210447305142,0.8300663473895452,-0.869497245608005
A_short_only,3,50,65,-106.48899999999999,-1.6382923076923075,0.4645161290322581,121.058,-0.8796527284442167,0.8822601928229281,-1.6864734196417095,36,31.766000000000002,0.8823888888888889,1.307619305856833,68.417,0.4642998085271205,2.101194461882695e-05,101,-74.723,-0.7398316831683168,0.752678491637678,146.09599999999998,-0.5114650640674626,0.7410379557503638,-0.7222329712016492
A_short_only,4,3,65,-91.28999999999999,-1.4044615384615384,0.4632273390093607,98.55600000000001,-0.9262754170217945,0.9355472367763332,-3.090841684477188,36,-31.651,-0.8791944444444444,0.6129927614203268,49.794,-0.6356388319877897,0.8893144689520166,101,-122.941,-1.2172376237623763,0.5118599517184422,135.39700000000002,-0.9080038701005191,0.9698644192690228,-3.3546447052933943
A_short_only,4,4,65,-73.669,-1.1333692307692307,0.5769115907237455,90.07299999999998,-0.8178810520355713,0.9063693761169989,-2.210116049445925,36,-31.254000000000005,-0.8681666666666668,0.652362520021356,57.414,-0.5443620022990909,0.8586176941342638,101,-104.923,-1.0388415841584158,0.6026035314703855,131.187,-0.7997972360066165,0.9585179713905108,-2.54481552783683
A_short_only,4,5,65,-69.569,-1.0702923076923077,0.6181702424272362,86.10299999999998,-0.807974170470251,0.8604079579136898,-1.9220817040107236,36,-18.410999999999998,-0.5114166666666666,0.7952148958889481,49.934,-0.36870669283454155,0.7588141184155044,101,-87.98,-0.8710891089108911,0.6766665564142991,115.53399999999999,-0.7615074350407673,0.9281161992742976,-1.9474424491461204
A_short_only,4,6,65,-65.632,-1.009723076923077,0.6553230820939419,81.77699999999999,-0.8025728505570028,0.8489989564072173,-1.6617543785001379,36,-14.654000000000007,-0.4070555555555557,0.8439636262963988,43.194,-0.33926008241885464,0.5852387352477441,101,-80.286,-0.794910891089109,0.7176309218161996,110.34899999999999,-0.7275643639724874,0.9297273728409602,-1.628843683257862
A_short_only,4,8,65,-53.56499999999998,-0.8240769230769228,0.7358936178605237,69.27299999999997,-0.7732449872244599,0.824919523364821,-1.134542003241309,36,-10.722999999999995,-0.29786111111111097,0.8949693419789604,41.013,-0.26145368541681896,0.4608231190313532,101,-64.28799999999997,-0.6365148514851482,0.7891574562985798,94.21199999999999,-0.6823759181420623,0.9070202649735634,-1.1009361982996513
