kind,sl,tp,n,exp,net,win,p_tp,p_sl,p_eod,pf
A_L,15,6,134,-0.6916791044776119,-92.685,67.16417910447761,67.16417910447761,32.08955223880597,0.7462686567164178,0.8580334372343442
F_S,15,6,116,0.26256896551724135,30.457999999999995,71.55172413793103,71.55172413793103,28.448275862068968,0.0,1.0607820363917924
A_S,15,8,101,0.024891089108910903,2.514000000000001,64.35643564356435,63.366336633663366,34.65346534653465,1.9801980198019802,1.0046821397043213
F_L,15,8,104,-1.5684903846153846,-163.123,57.692307692307686,57.692307692307686,40.38461538461539,1.9230769230769231,0.7500337123417821
A_L,15,8,134,-0.23700746268656747,-31.759000000000043,63.43283582089553,63.43283582089553,35.82089552238806,0.7462686567164178,0.9564504937868696
F_S,15,8,116,-0.2095862068965517,-24.311999999999998,63.793103448275865,63.793103448275865,36.206896551724135,0.0,0.962348597596765
A_S,15,10,101,-0.2911287128712871,-29.403999999999996,58.415841584158414,57.42574257425742,40.5940594059406,1.9801980198019802,0.9531493233866198
F_L,15,10,104,-1.625644230769231,-169.067,52.88461538461539,52.88461538461539,45.19230769230769,1.9230769230769231,0.7677855243495075
A_L,15,10,134,0.20179850746268665,27.04100000000001,60.447761194029844,59.70149253731343,38.80597014925373,1.4925373134328357,1.034201795780838
F_S,15,10,116,0.23843965517241403,27.659000000000027,59.48275862068966,59.48275862068966,38.793103448275865,1.7241379310344827,1.039671486414965
A_S,15,12,101,-0.5079900990099011,-51.30700000000001,53.46534653465347,52.475247524752476,45.54455445544555,1.9801980198019802,0.9270396946608304
F_L,15,12,104,-1.3877307692307694,-144.324,50.0,49.03846153846153,48.07692307692308,2.8846153846153846,0.8138148830441041
A_L,15,12,134,0.8810746268656716,118.064,58.2089552238806,57.46268656716418,40.298507462686565,2.2388059701492535,1.1437086681167694
F_S,15,12,116,0.18098275862068966,20.994,55.172413793103445,54.310344827586206,43.103448275862064,2.586206896551724,1.0271749049577308
