date,kind,side,entry,mfe,mae,min_to_mfe,min_to_mae,mfe_first,eod_pnl
2025-10-15,F_S,short,4155.715,0.36,63.037,0.6675333333333333,468.9493,True,-43.42
2025-10-16,F_L,long,4215.355,32.0,12.18,689.6191333333334,344.41266666666667,False,24.91
2025-10-16,A_S,short,4208.958,5.053,39.047,410.01945,754.6283666666667,True,-31.957
2025-10-17,A_L,long,4361.352,17.553,83.057,41.75555,154.20941666666667,True,-74.557
2025-10-17,F_S,short,4336.565,56.874,42.44,24.235866666666666,220.90375,True,48.884
2025-10-20,F_L,long,4256.195,23.04,35.19,634.9791333333334,305.8890333333333,False,22.71
2025-10-20,A_S,short,4251.925,32.32,28.04,79.7652,769.9791333333334,True,-27.69
2025-10-21,F_S,short,4366.895,121.294,5.67,544.9784,111.34778333333334,False,113.16
2025-10-22,F_L,long,4125.762,35.403,122.464,465.5955,62.985683333333334,False,-98.357
2025-10-22,A_S,short,4116.525,111.1,45.23,57.95165,460.5955,True,88.023
2025-10-23,F_L,long,4106.405,31.043,14.84,19.26705,102.31001666666667,True,2.97
2025-10-23,A_S,short,4095.108,28.556,42.947,71.99525,424.26705,True,-14.767
2025-10-24,A_L,long,4120.075,24.07,76.457,85.15111666666667,673.84925,True,-58.82
2025-10-24,F_S,short,4114.375,70.395,30.45,713.84925,125.14436666666667,False,52.63
2025-10-27,A_L,long,4085.702,11.843,70.647,136.60665,749.78535,True,-61.877
2025-10-27,F_S,short,4079.945,64.17,18.267,734.78535,121.60835,False,55.43
2025-10-28,F_L,long,3992.555,26.85,106.356,117.0749,588.9452,True,-69.5
2025-10-28,A_S,short,3985.008,98.113,35.164,598.9418166666667,125.37211666666667,False,61.233
2025-10-29,A_L,long,3945.592,83.933,1.987,696.8914666666667,206.31726666666665,False,70.803
2025-10-30,A_L,long,3946.625,64.873,31.56,602.58655,227.0115,False,27.6
2025-10-30,F_S,short,3937.115,21.2,74.88,57.0115,432.58913333333334,True,-37.82
2025-10-31,F_L,long,4040.925,1.91,52.16,7.412066666666667,260.32466666666664,True,-30.78
2025-10-31,A_S,short,4027.025,37.5,16.57,295.32466666666664,42.41206666666667,False,16.13
2025-11-03,A_L,long,3996.735,31.13,34.41,530.5148666666666,65.1726,False,10.63
2025-11-03,F_S,short,3978.565,15.48,49.997,35.1726,500.51486666666665,True,-29.55
2025-11-04,F_S,short,3997.785,30.81,3.31,417.4529166666667,558.1456166666667,True,2.49
2025-11-05,A_L,long,3938.245,48.67,8.597,529.6775,85.90573333333333,False,28.44
2025-11-05,F_S,short,3931.635,1.75,56.0,55.90573333333333,499.6775,True,-35.6
2025-11-06,F_L,long,3977.445,41.73,2.95,587.15335,1.6455333333333333,False,40.34
2025-11-06,A_S,short,3966.455,1.52,53.42,0.5120666666666667,642.13395,True,-52.08
2025-11-07,A_L,long,3981.552,32.423,1.067,608.4043333333333,6.025266666666667,False,21.173
2025-11-10,A_L,long,4010.402,75.713,6.404,630.1010333333334,24.926183333333334,False,74.763
2025-11-11,A_L,long,4120.562,28.193,4.947,293.83893333333333,10.140366666666667,False,22.037
2025-11-12,A_L,long,4133.525,11.73,34.86,51.48486666666667,378.3380333333333,True,-7.76
2025-11-12,F_S,short,4127.125,27.9,8.727,238.33803333333333,17.621933333333335,False,0.84
2025-11-13,A_L,long,4208.025,31.88,28.4,671.4411166666666,129.33713333333333,False,22.29
2025-11-13,F_S,short,4196.698,16.373,43.837,119.33713333333333,661.4376833333333,True,-34.037
2025-11-14,A_L,long,4178.105,32.91,47.42,260.4343333333333,767.0077666666666,True,-45.38
2025-11-14,F_S,short,4170.955,39.75,16.49,277.00776666666667,78.05573333333334,False,37.633
2025-11-17,F_L,long,4100.252,6.043,50.747,13.605166666666667,387.4207166666667,True,-21.997
2025-11-17,A_S,short,4078.005,27.93,18.35,146.97561666666667,300.2660833333333,True,-0.73
2025-11-18,F_S,short,4036.985,38.66,13.76,473.70391666666666,708.4756166666666,True,-2.84
2025-11-19,F_L,long,4073.002,45.903,17.754,656.5553833333333,174.18951666666666,False,39.733
2025-11-19,A_S,short,4067.045,11.14,52.38,59.19121666666667,541.5553833333333,True,-46.37
2025-11-20,A_L,long,4090.905,18.9,52.3,41.728116666666665,543.2548666666667,True,-30.39
2025-11-20,F_S,short,4070.775,31.56,15.14,378.25486666666666,63.12931666666667,False,9.57
2025-11-21,F_L,long,4080.525,8.12,58.45,35.406483333333334,533.9835666666667,True,-44.2
2025-11-21,A_S,short,4072.495,49.74,7.96,448.98525,9.562383333333333,False,35.42
2025-11-24,F_L,long,4072.852,4.433,32.907,3.6190333333333333,372.2603833333333,True,-3.117
2025-11-24,A_S,short,4060.305,19.79,17.3,312.2603833333333,593.3371833333333,True,-10.04
2025-11-25,A_L,long,4136.642,18.943,27.227,184.66121666666666,549.3414833333334,True,-3.367
2025-11-25,F_S,short,4128.415,18.47,27.92,579.3414833333334,214.66121666666666,False,-5.437
2025-11-26,A_L,long,4135.952,36.896,5.007,739.31375,6.008683333333333,False,35.353
2025-11-26,F_S,short,4131.885,0.12,41.56,1.31415,729.31375,True,-40.17
2025-11-27,A_L,long,4169.452,-1.047,27.027,1.3936166666666667,298.51026666666667,True,-12.337
2025-11-27,F_S,short,4163.798,20.763,4.577,278.51026666666667,20.20175,False,6.073
2025-11-28,A_L,long,4162.102,30.913,12.027,153.79315,558.2737833333333,True,8.816
2025-12-01,A_L,long,4227.445,34.58,12.17,583.5599166666667,296.61241666666666,False,26.91
2025-12-01,F_S,short,4208.098,-1.654,54.657,0.019833333333333335,661.2937666666667,True,-46.777
2025-12-02,F_L,long,4234.002,1.853,53.107,19.730783333333335,626.5244666666666,True,-28.717
2025-12-02,A_S,short,4230.495,49.05,0.74,591.5244666666666,0.0017333333333333333,False,24.593
2025-12-03,F_L,long,4212.985,15.78,18.58,209.98013333333333,665.2969666666667,True,-4.52
2025-12-03,A_S,short,4202.375,7.473,8.13,165.28605,73.91915,False,-6.69
2025-12-04,A_L,long,4207.865,8.85,32.86,155.92426666666665,403.19898333333333,True,-9.56
2025-12-04,F_S,short,4202.085,26.851,5.88,228.16103333333334,25.8032,False,3.18
2025-12-05,A_L,long,4209.665,20.82,2.94,224.49685,1.7682166666666668,False,13.86
2025-12-05,F_S,short,4207.298,12.223,23.767,127.73838333333333,499.49685,True,-16.457
2025-12-08,F_L,long,4204.985,13.77,7.76,414.3124,137.86743333333334,False,3.41
2025-12-08,A_S,short,4193.385,-4.48,26.05,162.8168,439.3124,True,-15.56
2025-12-09,A_L,long,4192.202,20.443,22.357,613.3374666666666,422.01885,False,10.683
2025-12-09,F_S,short,4190.955,20.51,22.35,417.01885,608.3374666666666,True,-12.44
2025-12-10,F_L,long,4210.805,7.81,23.28,193.96363333333332,663.5916666666667,True,-13.67
2025-12-10,A_S,short,4208.125,20.09,11.09,678.5916666666667,208.96363333333332,False,10.45
2025-12-11,F_L,long,4230.835,16.63,26.93,73.86123333333333,373.70646666666664,True,-19.84
2025-12-11,A_S,short,4225.225,20.8,22.84,408.7056166666667,108.86123333333333,False,13.69
2025-12-12,A_L,long,4287.535,51.54,3.49,248.40911666666668,30.4511,False,48.63
2025-12-12,F_S,short,4278.325,13.34,61.36,123.7421,713.39145,True,-58.51
2025-12-15,A_L,long,4308.602,41.393,8.657,605.79575,59.899883333333335,False,33.973
2025-12-15,F_S,short,4300.195,-0.56,50.43,0.13426666666666667,545.79575,True,-42.95
