tag,sl,tp,n,pf,exp,net,mdd,wr,pf_dev,pf_val,pf_hold,exp_dev,exp_val,exp_hold,n_dev,n_val,n_hold,minPF,minEXP
W1030,12,3,127,0.6015365573869468,-1.4550629921259843,-184.793,210.00299999999996,70.07874015748031,0.5276142069051012,0.6766796362217202,0.8258805723720418,-1.880506493506494,-1.0935599999999999,-0.5061999999999999,77,25,25,0.5276142069051012,-1.880506493506494
W1030,12,4,127,0.6856842117596975,-1.267338582677165,-160.95199999999997,204.6970000000001,66.92913385826772,0.5864616694960243,0.7353687459220978,1.0877132636213536,-1.8412337662337668,-1.0220799999999999,0.2550000000000001,77,25,25,0.5864616694960243,-1.8412337662337668
W1030,12,5,127,0.789639251198057,-0.8893307086614171,-112.94499999999996,166.11800000000005,65.35433070866141,0.6899500146353544,0.8931615522437524,1.0885714285714285,-1.4306753246753248,-0.4126400000000002,0.30132000000000014,77,25,25,0.6899500146353544,-1.4306753246753248
W1030,12,6,127,0.8046278861523268,-0.9191181102362205,-116.728,159.581,61.417322834645674,0.7493975205501461,0.9147688568956311,0.8871278057718736,-1.235701298701299,-0.37036000000000024,-0.4928,77,25,25,0.7493975205501461,-1.235701298701299
W1030,12,7,127,0.7883014164237958,-1.1112992125984253,-141.13500000000002,194.69,57.48031496062992,0.7606221584574968,0.7590472103650504,0.9145768025078372,-1.282779220779221,-1.28024,-0.4142,77,25,25,0.7590472103650504,-1.282779220779221
W1030,12,8,127,0.7836961032102302,-1.2190393700787403,-154.818,187.57599999999996,54.330708661417326,0.8230232257001258,0.6197697079315748,0.851134497686222,-0.9762337662337661,-2.3881200000000002,-0.7977999999999997,77,25,25,0.6197697079315748,-2.3881200000000002
W1030,12,10,127,0.8649188308932324,-0.814472440944882,-103.43800000000002,181.62900000000002,51.181102362204726,0.8374867561595707,0.7729241233489156,1.0699358113151216,-1.001987012987013,-1.4261999999999995,0.3748000000000002,77,25,25,0.7729241233489156,-1.4261999999999995
W1030,12,12,127,0.9404533503872663,-0.37611023622047246,-47.766000000000005,158.10999999999999,48.818897637795274,0.9008099883199805,0.7895384469764195,1.278549037169727,-0.6429870129870134,-1.4230399999999992,1.4928000000000003,77,25,25,0.7895384469764195,-1.4230399999999992
W1030,12,15,127,0.9693820642049806,-0.210952755905512,-26.79100000000002,142.15,44.09448818897638,1.0124644874829722,0.7109623387701295,1.1428544332608364,0.08472727272727267,-2.2363999999999997,0.9037999999999998,77,25,25,0.7109623387701295,-2.2363999999999997
W1030,12,18,127,1.125997993303496,0.8800314960629922,111.76400000000001,126.452,43.30708661417323,1.2141641208466833,0.7072546299676329,1.3781738404734207,1.455779220779221,-2.4058399999999995,2.3926,77,25,25,0.7072546299676329,-2.4058399999999995
