date,split,kind,hhmm,signal_mel,entry_mel,entry,spread,pnl,why
2026-04-29,VAL,A_LONG,1005,2026-04-29 10:05:00,2026-04-29 10:10:00,4608.845,0.7,-15.02,SL
2026-05-01,VAL,FLIP_SHORT,1010,2026-05-01 10:10:00,2026-05-01 10:15:00,4622.215,0.68,27.1,TP
2026-05-05,VAL,A_LONG,1005,2026-05-05 10:05:00,2026-05-05 10:10:00,4526.715,0.68,27.07,TP
2026-05-06,VAL,FLIP_SHORT,1005,2026-05-06 10:05:00,2026-05-06 10:10:00,4592.305,0.68,-15.08,SL
2026-05-13,VAL,FLIP_SHORT,1045,2026-05-13 10:45:00,2026-05-13 10:50:00,4716.585,0.69,27.19,TP
2026-05-25,VAL,A_LONG,1005,2026-05-25 10:05:00,2026-05-25 10:10:00,4573.415,0.68,-15.44,SL
2026-05-27,VAL,A_LONG,1005,2026-05-27 10:05:00,2026-05-27 10:10:00,4522.785,0.77,-15.0,SL
2026-05-28,VAL,FLIP_SHORT,1010,2026-05-28 10:10:00,2026-05-28 10:15:00,4444.385,0.72,27.04,TP
2026-06-01,VAL,FLIP_SHORT,1015,2026-06-01 10:15:00,2026-06-01 10:20:00,4538.115,0.75,27.24,TP
2026-06-03,VAL,A_LONG,1020,2026-06-03 10:20:00,2026-06-03 10:25:00,4479.375,0.73,-15.33,SL
2026-06-04,VAL,FLIP_SHORT,1005,2026-06-04 10:05:00,2026-06-04 10:10:00,4455.895,0.74,-15.16,SL
2026-06-05,VAL,FLIP_SHORT,1005,2026-06-05 10:05:00,2026-06-05 10:10:00,4461.065,0.73,27.03,TP
2026-06-08,VAL,A_LONG,1005,2026-06-08 10:05:00,2026-06-08 10:10:00,4345.975,0.69,-15.16,SL
2026-06-15,VAL,A_LONG,1005,2026-06-15 10:05:00,2026-06-15 10:10:00,4297.075,0.67,27.27,TP
2026-06-16,VAL,A_LONG,1005,2026-06-16 10:05:00,2026-06-16 10:10:00,4317.135,0.69,27.01,TP
2026-06-17,HOLD,A_LONG,1005,2026-06-17 10:05:00,2026-06-17 10:10:00,4338.605,0.67,-15.04,SL
2026-06-18,HOLD,A_LONG,1005,2026-06-18 10:05:00,2026-06-18 10:10:00,4293.655,0.7,27.19,TP
2026-06-19,HOLD,FLIP_SHORT,1005,2026-06-19 10:05:00,2026-06-19 10:10:00,4185.835,0.7,27.0,TP
