date,kind,split,hhmm,entry,spread,pnl,why,q90,mic,ny
2026-04-08,FLIP_SHORT,VAL,1015,4832.905,0.81,25.1,TP,2,3,2015
2026-04-15,FLIP_SHORT,VAL,1005,4834.355,0.71,-18.32,SL,2,2,2005
2026-04-16,A_LONG,VAL,1005,4831.015,0.71,-15.02,SL,2,2,2005
2026-04-21,A_LONG,VAL,1005,4828.945,0.71,-15.0,SL,2,2,2005
2026-04-22,A_LONG,VAL,1005,4745.062,0.727,25.103,TP,2,2,2005
2026-04-28,A_LONG,VAL,1005,4700.635,0.7,-15.03,SL,2,2,2005
2026-04-29,A_LONG,VAL,1005,4608.845,0.7,-15.02,SL,2,2,2005
2026-05-01,FLIP_SHORT,VAL,1010,4622.215,0.68,25.02,TP,2,2,2010
2026-05-05,A_LONG,VAL,1005,4526.715,0.68,25.04,TP,2,2,2005
2026-05-06,FLIP_SHORT,VAL,1005,4592.305,0.68,-15.08,SL,2,2,2005
2026-05-13,FLIP_SHORT,VAL,1045,4716.585,0.69,25.13,TP,2,4,2045
2026-05-25,A_LONG,VAL,1005,4573.415,0.68,-15.44,SL,2,2,2005
2026-05-27,A_LONG,VAL,1005,4522.785,0.77,-15.0,SL,2,2,2005
2026-05-28,FLIP_SHORT,VAL,1010,4444.385,0.72,25.0,TP,2,2,2010
2026-06-01,FLIP_SHORT,VAL,1015,4538.115,0.75,25.013,TP,2,3,2015
2026-06-03,A_LONG,VAL,1020,4479.375,0.73,-15.33,SL,2,3,2020
2026-06-04,FLIP_SHORT,VAL,1005,4455.895,0.74,-15.16,SL,2,2,2005
2026-06-05,FLIP_SHORT,VAL,1005,4461.065,0.73,25.02,TP,2,2,2005
2026-06-08,A_LONG,VAL,1005,4345.975,0.69,-15.16,SL,2,2,2005
2026-06-15,A_LONG,HOLD,1005,4297.075,0.67,25.28,TP,2,2,2005
2026-06-16,A_LONG,HOLD,1005,4317.135,0.69,25.22,TP,2,2,2005
2026-06-17,A_LONG,HOLD,1005,4338.605,0.67,-15.04,SL,2,2,2005
2026-06-18,A_LONG,HOLD,1005,4293.655,0.7,25.03,TP,2,2,2005
2026-06-19,FLIP_SHORT,HOLD,1005,4185.835,0.7,25.23,TP,2,2,2005
2026-06-22,A_LONG,HOLD,1005,4149.375,0.71,25.07,TP,2,2,2005
2026-06-23,FLIP_SHORT,HOLD,1005,4184.265,0.7,25.05,TP,2,2,2005
2026-06-24,A_LONG,HOLD,1005,4110.735,0.77,-15.14,SL,2,2,2005
2026-06-25,A_LONG,HOLD,1005,4015.495,0.7,-15.16,SL,2,2,2005
2026-07-01,A_LONG,HOLD,1005,4007.765,0.68,-15.1,SL,2,2,2005
2026-07-03,A_LONG,HOLD,1010,4135.315,0.77,25.06,TP,2,2,2010
2026-07-08,A_LONG,HOLD,1015,4103.955,0.83,25.09,TP,2,3,2015
2026-07-09,A_LONG,HOLD,1010,4088.225,0.82,-15.12,SL,2,2,2010
2026-07-10,FLIP_SHORT,HOLD,1005,4122.455,0.79,25.56,TP,2,2,2005
2026-07-15,FLIP_SHORT,HOLD,1010,4051.095,0.79,25.11,TP,2,2,2010
2026-07-22,A_LONG,HOLD,1005,4088.715,0.8,25.02,TP,2,2,2005
2026-07-24,FLIP_SHORT,HOLD,1005,4045.385,0.76,-15.02,SL,2,2,2005
2026-07-27,A_LONG,HOLD,1005,4108.595,0.8,-15.1,SL,2,2,2005
2026-08-03,FLIP_SHORT,HOLD,1005,4072.975,0.77,25.07,TP,2,2,2005
2026-08-04,A_LONG,HOLD,1005,4067.645,0.77,-15.09,SL,2,2,2005
2026-08-05,FLIP_SHORT,HOLD,1005,4072.135,0.69,-15.08,SL,2,2,2005
2026-08-10,A_LONG,HOLD,1005,4342.235,0.75,-15.22,SL,2,2,2005
2026-08-11,A_LONG,HOLD,1005,4406.555,0.79,25.0,TP,2,2,2005
2026-08-13,A_LONG,HOLD,1005,4421.625,0.75,25.14,TP,2,2,2005
2026-08-14,FLIP_SHORT,HOLD,1010,4351.825,0.75,25.46,TP,2,2,2010
2026-08-17,A_LONG,HOLD,1010,4379.215,0.75,25.14,TP,2,2,2010
2026-08-19,A_LONG,HOLD,1005,4340.485,0.76,-16.0,SL,2,2,2005
2026-08-20,A_LONG,HOLD,1005,4515.365,0.69,-15.02,SL,2,2,2005
