branch,sl,tp,pf,wr,total_pnl
flipshort,8,20,0.5462184873949579,0.15294117647058825,-432
flipshort,8,25,0.5777310924369747,0.12941176470588237,-402
flipshort,8,30,0.4411764705882353,0.08235294117647059,-532
flipshort,8,39,0.36869747899159666,0.052941176470588235,-601
flipshort,8,45,0.0,0.0,-952
flipshort,8,50,0.0,0.0,-952
flipshort,8,60,0.0,0.0,-952
flipshort,8,75,0.0,0.0,-952
flipshort,8,100,0.0,0.0,-952
flipshort,10,10,0.5346534653465347,0.3176470588235294,-470
flipshort,10,15,0.6683168316831684,0.2647058823529412,-335
flipshort,10,20,0.6534653465346535,0.19411764705882353,-350
flipshort,10,25,0.693069306930693,0.16470588235294117,-310
flipshort,10,30,0.504950495049505,0.1,-500
flipshort,10,39,0.38613861386138615,0.058823529411764705,-620
flipshort,10,45,0.0,0.0,-1010
flipshort,10,50,0.0,0.0,-1010
flipshort,10,60,0.0,0.0,-1010
flipshort,10,75,0.0,0.0,-1010
flipshort,10,100,0.0,0.0,-1010
flipshort,12,10,0.5141843971631206,0.3411764705882353,-548
flipshort,12,15,0.651595744680851,0.28823529411764703,-393
flipshort,12,20,0.6382978723404256,0.21176470588235294,-408
flipshort,12,25,0.6205673758865248,0.16470588235294117,-428
flipshort,12,30,0.4521276595744681,0.1,-618
flipshort,12,39,0.34574468085106386,0.058823529411764705,-738
flipshort,12,45,0.0,0.0,-1128
flipshort,12,50,0.0,0.0,-1128
flipshort,12,60,0.0,0.0,-1128
flipshort,12,75,0.0,0.0,-1128
flipshort,12,100,0.0,0.0,-1128
flipshort,15,10,0.5887445887445888,0.4,-475
flipshort,15,15,0.7012987012987013,0.3176470588235294,-345
flipshort,15,20,0.658008658008658,0.2235294117647059,-395
flipshort,15,25,0.6277056277056277,0.17058823529411765,-430
flipshort,15,30,0.44155844155844154,0.1,-645
flipshort,15,39,0.33766233766233766,0.058823529411764705,-765
flipshort,15,45,0.0,0.0,-1155
flipshort,15,50,0.0,0.0,-1155
flipshort,15,60,0.0,0.0,-1155
flipshort,15,75,0.0,0.0,-1155
flipshort,15,100,0.0,0.0,-1155
flipshort,17,10,0.7058823529411765,0.4588235294117647,-325
flipshort,17,15,0.8416289592760181,0.36470588235294116,-175
flipshort,17,20,0.7963800904977375,0.25882352941176473,-225
flipshort,17,25,0.7692307692307693,0.2,-255
flipshort,17,30,0.5701357466063348,0.12352941176470589,-475
flipshort,17,39,0.4235294117647059,0.07058823529411765,-637
flipshort,17,45,0.04072398190045249,0.0058823529411764705,-1060
flipshort,17,50,0.04524886877828054,0.0058823529411764705,-1055
flipshort,17,60,0.05429864253393665,0.0058823529411764705,-1045
flipshort,17,75,0.0,0.0,-1105
flipshort,17,100,0.0,0.0,-1105
flipshort,20,10,0.8365384615384616,0.5117647058823529,-170
flipshort,20,15,0.9663461538461539,0.3941176470588235,-35
flipshort,20,20,0.9038461538461539,0.27647058823529413,-100
flipshort,20,25,0.8413461538461539,0.20588235294117646,-165
flipshort,20,30,0.6346153846153846,0.12941176470588237,-380
flipshort,20,39,0.4875,0.07647058823529412,-533
flipshort,20,45,0.04326923076923077,0.0058823529411764705,-995
flipshort,20,50,0.04807692307692308,0.0058823529411764705,-990
flipshort,20,60,0.057692307692307696,0.0058823529411764705,-980
flipshort,20,75,0.0,0.0,-1040
flipshort,20,100,0.0,0.0,-1040
flipshort,25,10,1.062857142857143,0.5470588235294118,55
