cell,horizon,n,mean_ret,med_ret,mfe,mae,mfe_mae,p_mfe_gt1,p_mae_gt1,winrate,low_conf,family,event,tol,src,cut
R100|touch|triple+,4,308,-0.05095312819955244,0.020377665195429995,1.0547435217938064,1.0799414239146303,0.9766673436513943,0.37337662337662336,0.38636363636363635,0.5097402597402597,False,R100,touch,0.75,real,triple+
R100|touch|triple+,8,308,-0.11449844620263575,-0.07069398728131449,1.4778323931792037,1.5916102561598984,0.9285139923292476,0.5422077922077922,0.5357142857142857,0.4837662337662338,False,R100,touch,0.75,real,triple+
R100|touch|triple+,16,308,-0.16805436010949315,-0.34889911897069015,2.251682925529683,2.3871709655003985,0.9432432607765424,0.6753246753246753,0.7077922077922078,0.4577922077922078,False,R100,touch,0.75,real,triple+
R100|touch|triple+,32,308,-0.4671931372125727,-0.43333433785570485,2.9561931890477138,3.316304307772883,0.891411919623562,0.762987012987013,0.775974025974026,0.4675324675324675,False,R100,touch,0.75,real,triple+
R100|touch|triple+,64,308,0.16799018150559958,-0.875740822364428,4.535404109574478,4.571870560009037,0.9920237351526228,0.8246753246753247,0.8409090909090909,0.4383116883116883,False,R100,touch,0.75,real,triple+
R100|sweep|triple+,4,50,-0.1331501478491988,-0.26846474590206837,1.3342550566358684,1.2270881531207563,1.0873343151774084,0.52,0.48,0.44,True,R100,sweep,0.75,real,triple+
R100|sweep|triple+,8,50,-0.15364404485506408,-0.1491988358142517,1.6718020930666462,1.772664023805566,0.9431014961750119,0.62,0.64,0.46,True,R100,sweep,0.75,real,triple+
R100|sweep|triple+,16,50,-0.9814077314194837,-0.1079697737809384,2.1700282781290468,2.808206549224794,0.7727452522066383,0.76,0.72,0.5,True,R100,sweep,0.75,real,triple+
R100|sweep|triple+,32,50,-1.1909454647523028,0.17011494861617327,2.9028132570997216,3.9283867671668586,0.7389326533123474,0.82,0.78,0.52,True,R100,sweep,0.75,real,triple+
R100|sweep|triple+,64,50,-2.2845944986557836,-0.34594833027585103,4.261261779125154,6.476939349249404,0.6579128735579376,0.86,0.86,0.48,True,R100,sweep,0.75,real,triple+
R100|break|triple+,4,53,0.08906656059648167,0.10619952613666832,1.2818054505617744,1.050320901459479,1.2203941183886133,0.5283018867924528,0.39622641509433965,0.5471698113207547,True,R100,break,0.75,real,triple+
R100|break|triple+,8,53,-0.06355725895290118,0.03245749740577414,1.562012688807231,1.3826785622485054,1.1297005185840832,0.6037735849056604,0.5283018867924528,0.5094339622641509,True,R100,break,0.75,real,triple+
R100|break|triple+,16,53,0.1812736369868096,0.44277657634517875,2.4065043290024537,2.1974365621226997,1.0951416621000412,0.6981132075471698,0.6037735849056604,0.5849056603773585,True,R100,break,0.75,real,triple+
