inst,tf,fam,n_ma,ent,side,trend,stop,n,wr,pf,net,maxdd,top10,yrs_pos,yrs,is_pf,oos_pf
AU200,Daily,zrev,20,1.5,both,False,4.0,101,64.35643564356435,1.296901448383835,1766.4803743370567,1607.3280248980227,156.6844466663678,5,7,1.0603978588691392,1.5943324948949227
AU200,Daily,zrev,20,1.5,both,True,0.0,48,58.333333333333336,1.0907706722885926,232.5000000000009,872.9000000000005,761.806451612901,4,7,0.8724333485431204,1.4168207923683442
AU200,Daily,zrev,20,1.5,both,True,4.0,50,57.99999999999999,1.0980041572167534,262.4145093836614,878.5470827324243,680.7931482889389,4,7,0.880566224069339,1.4676249184556824
AU200,Daily,zrev,20,2.0,long,False,4.0,40,75.0,2.6122467440204575,2957.872390272766,459.51685290123714,90.90993948363095,7,7,2.7516101272628233,2.5139771456194477
AU200,Daily,zrev,20,2.0,both,False,0.0,66,72.72727272727273,2.471515253665933,3492.1999999999944,476.10000000000036,77.04026115342775,6,7,2.7244705388970396,2.301535860222626
AU200,Daily,zrev,20,2.0,both,False,4.0,75,70.66666666666667,1.8004993967771794,2855.3007211135537,590.9525360397711,96.76038602765878,6,7,1.5893739009081607,2.026368050781556
AU200,Daily,zrev,50,1.5,both,False,4.0,52,71.15384615384616,1.5981620358444875,2655.6375372067578,933.1000000000004,122.70499849265757,5,7,1.8325684717578705,1.4376269534732913
AU200,Daily,rsi2,2,,long,True,0.0,46,67.3913043478261,1.7745612596358915,944.5000000000045,452.89999999999964,138.83536262572736,4,6,4.40830636461708,1.3023210831721495
AU200,Daily,rsi2,2,,long,True,4.0,46,67.3913043478261,1.3720484550705576,586.7691107788023,632.2536013837198,223.47802157812112,4,6,4.40830636461708,0.9675721150038893
AU200,Daily,rsi2,2,,both,True,0.0,65,64.61538461538461,1.5477481346288073,1020.4000000000042,565.7000000000007,143.59074872598927,4,6,2.191294387170683,1.2335836395590363
AU200,Daily,rsi2,2,,both,True,4.0,65,64.61538461538461,1.2984147946402778,662.669110778802,745.0536013837209,221.10582433486664,4,6,2.191294387170683,0.9594099810952915
GOLD,4H,zrev,10,1.5,long,False,0.0,448,68.52678571428571,1.0616953993474476,250.4840000000279,609.819999999999,298.94524201143344,4,8,1.034345445495256,1.079395017577049
GOLD,4H,zrev,10,1.5,long,False,4.0,503,69.38369781312127,1.0962525205161537,469.1381403271147,514.0484781327367,220.00769310300072,6,8,1.0532083835969865,1.1230648883595236
GOLD,4H,zrev,10,1.5,long,True,0.0,263,61.97718631178707,0.8762322105325666,-346.46799999997484,557.7179999999742,-171.90909405776156,2,7,0.7645238209681262,0.9342602418140311
GOLD,4H,zrev,10,1.5,long,True,4.0,272,62.5,0.8857487123875073,-330.19837463965644,541.4483746396563,-180.37944634039698,1,7,0.8313272662417147,0.9114653546286635
GOLD,4H,zrev,10,1.5,both,False,0.0,853,62.71981242672919,0.7391106592358134,-2593.190999999947,2963.6529999999675,-33.117498865298394,1,8,0.7965093586549659,0.7092373114694048
GOLD,4H,zrev,10,1.5,both,False,4.0,1010,62.97029702970297,0.7807297534808725,-2749.3025691602843,3285.0417989437974,-50.94855748917538,1,8,0.7928938932807064,0.7748263862359289
