arm,budget,risk,n,wr,pf,cagr,dd,mar,mc_med,p30,p30_sd,pf_pre2025,pf2021,pf2022,pf2026,top1,top5,top10,long_share,avg_bars
V2 tol0.25 | B 1.5R tgt,25.0,2.1340863037109377,367,44.95912806539509,1.1129448270282094,7.769572129967295,24.999015454571854,0.31079512487546324,32.74870435544599,66.22222222222221,1.210244338150233,1.1048148540452758,0.8613846552407226,0.9582715935657666,1.075355848190865,2.587711913443879,14.340425105406482,26.491548223364926,66.4850136239782,18.087193460490465
V2 tol0.25 | B 1.5R tgt,20.0,1.6870864868164062,367,44.95912806539509,1.1185309655782536,6.433535026802861,19.999649896059392,0.3216823824536291,26.624349880081166,30.444444444444443,1.2838983845026062,1.1107564522303899,0.8652501980619425,0.9636463029581136,1.0815970364952765,2.4409049206815814,13.733672555990141,25.701270075080114,66.4850136239782,18.087193460490465
V2 tol0.25 | B 2R tgt,25.0,1.7317742919921875,356,38.20224719101123,1.1367229149073232,7.870414122027292,24.999917162317427,0.31481760803153497,30.163906761632315,50.82222222222222,0.710416327250926,1.097774372604692,0.9706136958638212,0.9124981409153233,1.1791901293180238,3.163278211234624,16.801809599160432,31.29731230359885,67.97752808988764,23.730337078651687
V2 tol0.25 | B 2R tgt,20.0,1.3581988525390627,356,38.20224719101123,1.140916851909377,6.424862656761632,19.999883283402852,0.3212450075692883,24.239181286537814,18.444444444444443,0.24545246704860502,1.1032974771887256,0.9758883892129562,0.9189438771924131,1.186139528357859,2.9667052537075222,15.957114875759165,30.266493360193138,67.97752808988764,23.730337078651687
V2 tol0.25 | B 3R tgt,25.0,1.9508297729492183,335,32.83582089552239,1.3425325272038873,25.694338581960796,24.9993677279913,1.0277995372335498,30.297082897796525,51.93333333333333,0.9813067629253137,1.3208457489482188,0.8894539325168598,1.097143300516416,1.0162922791825733,6.0711817319308174,27.67201638187083,47.327124468836445,66.26865671641791,33.42686567164179
V2 tol0.25 | B 3R tgt,20.0,1.547421875,335,32.83582089552239,1.3501630599502483,20.538545243129636,19.99992327769413,1.0269312015829697,24.68733606942908,20.288888888888888,0.7104163272509239,1.3284917100781588,0.8967972080175133,1.1057384060586846,1.0241232101950943,5.302939460224313,24.889866372537288,44.00081585962362,66.26865671641791,33.42686567164179
V2 tol0.25 | C time 32 + 4ATR,25.0,1.3834042358398437,321,49.532710280373834,1.0378739577417673,1.0147810737915597,24.99927902067945,0.040592413603293555,20.186292805429954,3.844444444444445,0.408550584685561,1.05300011130415,0.5093824831806572,0.9829540447775896,1.0323719821855446,10.452606372719016,33.36095820716123,51.85431640861971,64.48598130841121,26.931464174454828
V2 tol0.25 | C time 32 + 4ATR,20.0,1.088976135253906,321,49.532710280373834,1.0421187986775169,0.8707429236514574,19.997945891369824,0.043541618143252865,16.15439619098684,0.3555555555555556,0.03142696805273544,1.0578071013477317,0.5091909301585257,0.9862580466089539,1.0359783514003789,10.39098734133767,33.34552025767484,51.83544800304941,64.48598130841121,26.931464174454828
V2 tol0.25 | C time 64 + 4ATR,25.0,1.5716531372070313,275,47.27272727272727,1.4008810019264593,11.40646735047659,24.999315680222118,0.4562711834348597,16.706308740055103,1.0666666666666667,0.3771236166328254,1.2758953744428767,0.48307482548236286,1.3572176005472216,1.2011941129894133,7.935833548445376,29.10194455615003,48.24511265661293,68.0,49.24363636363636
V2 tol0.25 | C time 64 + 4ATR,20.0,1.2240136718749997,275,47.27272727272727,1.4038600800287113,8.938847448257658,19.998455470263306,0.4469768908678609,13.194880498451804,0.022222222222222223,0.03142696805273544,1.2837558783331475,0.4832506366445988,1.3617242203912334,1.2124278462257798,7.377900830618185,28.485154124739484,47.88884438445912,68.0,49.24363636363636
V2 tol0.5 | A trail 3.0ATR,25.0,1.100787353515625,328,36.58536585365854,1.081399685765317,1.845365780593733,24.998619728423964,0.07381870681826136,17.414552738868498,0.9333333333333332,0.09428090415820636,1.0864956876214582,0.5148340443777132,1.1236996448612497,1.4517408741779052,13.698931747902947,42.860856168129445,61.77236759523544,64.32926829268293,21.789634146341463
V2 tol0.5 | A trail 3.0ATR,20.0,0.8631018066406249,328,36.58536585365854,1.0864695408642062,1.5116131369340202,19.99835769435368,0.07558686368335175,13.859926883316446,0.0,0.0,1.0922824602507502,0.5138646360182759,1.1300614079266589,1.4622763048654137,13.643960023263363,42.85903452040934,61.750095780568884,64.32926829268293,21.789634146341463
V2 tol0.5 | A trail 4.0ATR,25.0,2.2573126220703124,283,39.2226148409894,1.1632457365162652,5.594978626993918,24.99969519035886,0.2238018737585098,25.48279619447112,24.555555555555557,1.2523558047649217,1.0540537631294065,0.6734537406616217,1.0984871356493475,1.0730568772492124,9.223947634676723,36.66312485372408,58.72241370501251,67.49116607773851,40.724381625441694
V2 tol0.5 | A trail 4.0ATR,20.0,1.7595367431640625,283,39.2226148409894,1.1702883601598433,4.548753806861194,19.998755763008397,0.2274518405427503,20.317523690805846,5.511111111111112,0.2514157444218831,1.062046816563351,0.6755708465428559,1.1056496600204162,1.0815878482659562,9.295900415865608,36.47927434150823,58.67872998470836,67.49116607773851,40.724381625441694
V2 tol0.5 | A trail 5.0ATR,25.0,2.1896112060546873,245,41.63265306122449,1.5613062698418254,16.586788355697777,24.99939696020087,0.6634875386035913,19.279225397640307,3.3777777777777778,0.3937787810370966,1.5465533926253776,0.7272234049518989,1.179317267742512,0.9228154598731252,13.890705383716668,44.119012582025555,61.51487742371612,68.57142857142857,65.01632653061225
V2 tol0.5 | A trail 5.0ATR,20.0,1.7026724243164062,245,41.63265306122449,1.5744860260950209,13.03734244320649,19.999937955285933,0.6518691444120582,15.269795432478476,0.3111111111111111,0.06285393610547091,1.5599279181891201,0.73512720117058,1.1847270085590398,0.9270375014989508,14.50047458207354,44.478653774847814,61.26443203049712,68.57142857142857,65.01632653061225
