label,risk,n,wr,pf,net,dd,mar,mc_med,mc_p95,p30,h1,h2,pf_pre2025,yrs_pos,yrs
   shorts trail 3.0 (longs 4.24),0.47013427734374996,766,19.06005221932115,1.7238443097273533,441.04571865545046,24.98244735293445,1.1552424365933809,17.20793387834751,25.805734867672005,1.05,1.3151221116974505,1.9592402336189851,1.4401208092786724,6,8
"   adds only when vol rank in [0.00,0.80]",0.5361181640625,711,22.78481012658228,1.7121871007613885,529.3923759105662,24.993546146430855,1.2731862409224515,19.018050618882086,28.48963141728872,3.4000000000000004,1.2653004840443978,1.9636735252274593,1.4012396079029636,7,8
   shorts trail 6.0 (longs 4.24),0.6862133789062501,669,22.57100149476831,1.6955281088223824,1273.9343681111454,24.98523689987901,1.9299212393430412,28.507938961961305,40.69726443584827,41.05,1.3505470650934703,1.8366690917984578,1.3420083353521561,8,8
"   adds only when vol rank in [0.00,0.67]",0.46143310546875,712,23.174157303370787,1.6025668213983795,297.8317515416025,24.97239976009226,0.9228404682342488,16.79868498494337,25.30064629720842,0.7000000000000001,1.2436180523490479,1.8432749119586607,1.4072432346295676,7,8
"   entries only when vol rank in [0.00,0.50]",0.6840380859375,499,21.24248496993988,1.596816559913315,484.76111349218075,24.996348442200645,1.2151098469430845,26.540919758903836,37.9037713507181,27.450000000000003,1.3146671279053779,1.7567173268218428,1.429891197020457,7,8
   shorts trail 8.0 (longs 4.24),0.5520703125,642,23.364485981308412,1.5915161696653883,602.446792232304,24.998129645740676,1.3606432354175737,25.98094004424622,38.19112782488075,26.6,1.3153987454205187,1.7475985310676994,1.2642300105542557,7,8
   trail 6.0 once at least one add taken,0.5796240234375,619,21.97092084006462,1.5687486312486667,576.3746121041917,24.990548741777307,1.3306808868860236,29.68889038458022,42.667377468712914,48.05,1.2309778670401585,1.7552304272750336,1.2373383825779622,7,8
"   entries only when vol rank in [0.20,0.80]",0.4984130859375,569,20.38664323374341,1.5262111318998672,240.9220362814391,24.975576703028914,0.8098136558942532,19.873619552347336,29.467241991163167,4.1000000000000005,1.348028687747938,1.6466122351801773,1.325648526853226,7,8
   trail 3.5 once at least one add taken,0.59195068359375,783,18.901660280970624,1.506714367514103,377.04917129403646,24.996273240021104,1.0580551748662546,23.19073361306716,33.56342003222744,12.4,1.3482780251647086,1.604449884943325,1.284046882708671,7,8
"   entries only when vol rank in [0.00,0.33]",0.5382934570312501,385,18.7012987012987,1.4424270732919857,133.0548818559684,24.977348916357123,0.5424871661623544,22.912019695812702,33.37090679607191,12.9,1.1772661835306653,1.6686599936091728,1.3017516771005755,7,7
   trail 3.0 once at least one add taken,0.50638916015625,825,18.666666666666668,1.3354251611727124,131.2651749648491,24.983791411128145,0.5370883118697891,20.149283068743628,29.59000188696894,4.1000000000000005,1.3115977952665838,1.3542137634206082,1.2267877610566909,6,8
