ft,st,fast,slow,side,rise,win,exit,n,wr,pf1,net1,dd1,top10,pf2,net2
EMA,EMA,8,21,both,True,all-day,cross+3ATR,4528,21.157243816254418,0.5535067396073358,-26838.395188714,26877.31120091559,-9.557203334864909,0.46686869772736006,-35894.395188714
EMA,EMA,8,21,both,True,cash10-16,cross,2866,24.005582693649686,0.6655200467117337,-13690.89999999998,13773.699999999983,-18.531287205370006,0.5715382392453848,-19422.89999999998
EMA,EMA,8,21,both,True,cash10-16,cross+3ATR,3543,22.97488004515947,0.595088979258102,-19610.821040517196,19667.334490410365,-12.937245180903897,0.5051500088301897,-26696.821040517196
EMA,EMA,10,30,long,False,all-day,cross,768,29.947916666666668,0.762390006473734,-3963.9999999999864,4413.999999999984,-64.89404641776005,0.6905122303939504,-5499.999999999986
EMA,EMA,10,30,long,False,all-day,cross+3ATR,1319,22.365428354814256,0.6116564576035779,-8861.04705031722,9081.952598346688,-29.195195390677743,0.5379449541128097,-11499.04705031722
EMA,EMA,10,30,long,False,cash10-16,cross,659,30.500758725341427,0.7812166120971921,-3173.999999999982,3912.9999999999827,-80.80655324511702,0.7088920139721473,-4491.999999999982
EMA,EMA,10,30,long,False,cash10-16,cross+3ATR,1086,23.664825046040516,0.6426843411561858,-6841.146481073004,7096.949860949706,-37.73051793498725,0.5670575235517717,-9013.146481073003
EMA,EMA,10,30,long,True,all-day,cross,1535,22.671009771986974,0.6720882356951022,-7215.59999999998,7308.999999999977,-29.545706524752003,0.5784054531518354,-10285.59999999998
EMA,EMA,10,30,long,True,all-day,cross+3ATR,1932,20.70393374741201,0.5859557124763842,-11059.845728788023,11097.599140286926,-19.27603740846773,0.4991753669921458,-14923.845728788023
EMA,EMA,10,30,long,True,cash10-16,cross,1221,24.57002457002457,0.7167532588403414,-5173.699999999973,5605.899999999975,-40.332837234474546,0.6215349905081858,-7615.699999999973
EMA,EMA,10,30,long,True,cash10-16,cross+3ATR,1528,22.5130890052356,0.6336008200056493,-8035.0958607347075,8277.077053136105,-25.96982084802653,0.5438671732520621,-11091.095860734707
EMA,EMA,10,30,both,False,all-day,cross,1536,26.5625,0.6879815739402876,-10905.199999999973,10946.89999999997,-33.71602538238646,0.6245151029969594,-13977.199999999973
EMA,EMA,10,30,both,False,all-day,cross+3ATR,2660,20.338345864661655,0.5593460476414677,-20759.213758228005,20739.235386268345,-18.150494733966386,0.4925049422727191,-26079.213758228005
EMA,EMA,10,30,both,False,cash10-16,cross,1244,27.893890675241156,0.7410997904282388,-7856.999999999976,8649.099999999973,-48.10996563573897,0.6782620865535639,-10344.999999999976
EMA,EMA,10,30,both,False,cash10-16,cross+3ATR,2317,22.356495468277945,0.6082519026785634,-16762.25772710068,16840.52268657386,-23.06371887928662,0.5390034879213019,-21396.25772710068
EMA,EMA,10,30,both,True,all-day,cross,2943,21.64458036017669,0.6274777452094858,-16483.69999999997,16523.49999999997,-17.10113627401617,0.5424726850280006,-22369.699999999968
EMA,EMA,10,30,both,True,all-day,cross+3ATR,3724,19.84425349087003,0.5510643970258926,-23871.621713296398,23888.231140962234,-11.80858189634382,0.47083007007917604,-31319.6217132964
EMA,EMA,10,30,both,True,cash10-16,cross,2323,22.858372793801117,0.657389037367395,-12537.29999999996,12650.799999999956,-22.291083407113234,0.5725930016217461,-17183.29999999996
EMA,EMA,10,30,both,True,cash10-16,cross+3ATR,2953,21.503555706061633,0.5881963765241257,-18010.393529655405,18085.445438402734,-15.517151223810432,0.5059034687697122,-23916.393529655405
EMA,EMA,20,50,long,False,all-day,cross,449,29.621380846325167,0.8271214140644831,-2179.1000000000013,2447.399999999998,-149.85085585792285,0.7676485468123502,-3077.1000000000013
EMA,EMA,20,50,long,False,all-day,cross+3ATR,960,20.0,0.6399189895238868,-6723.563526655393,6812.594045322117,-53.29762983265207,0.5725402003113638,-8643.563526655393
EMA,EMA,20,50,long,False,cash10-16,cross,402,31.343283582089555,0.8722935152355068,-1419.0999999999995,1975.7999999999975,-230.10358678035377,0.8095258495124834,-2223.0999999999995
EMA,EMA,20,50,long,False,cash10-16,cross+3ATR,810,22.469135802469136,0.6887891599460716,-4982.750113935357,5119.27568529081,-71.91811586091688,0.6178731884519831,-6602.750113935357
EMA,EMA,20,50,long,True,all-day,cross,1140,21.578947368421055,0.6943918118277417,-5338.699999999991,5540.999999999991,-47.545282559424685,0.6046320946138798,-7618.699999999991
EMA,EMA,20,50,long,True,all-day,cross+3ATR,1490,19.798657718120804,0.6004269555930242,-8609.733742239983,8707.727938245527,-29.48174793776625,0.5163171842338786,-11589.733742239983
EMA,EMA,20,50,long,True,cash10-16,cross,933,23.258306538049304,0.7261307203502969,-4102.999999999986,4360.599999999988,-61.87423836217424,0.6365286015272014,-5968.999999999986
EMA,EMA,20,50,long,True,cash10-16,cross+3ATR,1220,21.311475409836063,0.6344117063757119,-6709.493249760606,6853.154046373031,-37.837432805981,0.54906376078422,-9149.493249760606
EMA,EMA,20,50,both,False,all-day,cross,898,26.83741648106904,0.7138050442867011,-7289.500000000004,7318.999999999998,-55.26853693668972,0.6609381997313029,-9085.500000000004
EMA,EMA,20,50,both,False,all-day,cross+3ATR,1901,19.04260915307733,0.5700603478030437,-15981.578545376029,15987.29485818733,-27.185674979878993,0.5088812546789555,-19783.57854537603
EMA,EMA,20,50,both,False,cash10-16,cross,758,29.683377308707126,0.8017687779352448,-4364.100000000002,5141.000000000002,-90.54329644141971,0.7454061309317628,-5880.100000000002
EMA,EMA,20,50,both,False,cash10-16,cross+3ATR,1690,21.597633136094675,0.639836795567632,-12091.905200841353,12203.897941393057,-35.303783226012804,0.5732018343958718,-15471.905200841353
EMA,EMA,20,50,both,True,all-day,cross,2129,20.197275716298734,0.6331282675190673,-12785.699999999984,12840.299999999981,-27.610533643054385,0.5546703734574274,-17043.699999999983
