adds,spacing,tighten_after,tighten_to,risk,n,wr,pf,net,dd,cagr,mar,h1,h2
2,1.0,25,2.5,0.8335693359375,735,30.476190476190478,1.5560293182968579,1120.5625774155808,24.990323468398056,45.607939731647676,1.8250239853566514,1.351598697858703,1.6430271746994707
2,1.25,20,2.5,0.8838134765625,738,28.72628726287263,1.5768964613870307,1102.306849170326,24.97060361095759,45.27876407512361,1.81328272157804,1.3346978716896183,1.674262873065764
4,2.0,25,1.5,0.6445556640625,735,20.680272108843536,1.747234956519321,1101.751317301672,24.996965278212336,45.26868065811125,1.8109670575719041,1.4386118044586829,1.895780248835736
2,1.25,15,2.5,0.8838134765625,743,28.532974427994617,1.5809425357063263,1097.5577961365677,24.988494924091952,45.192436297806495,1.8085297427911708,1.3060713995079953,1.689573516220431
2,1.0,20,2.0,0.8335693359375,740,30.405405405405407,1.5893719696506952,1066.6848143238483,24.985704911288988,44.62402804507399,1.7859823528497714,1.3497608186950643,1.6868747057471256
1,1.0,30,1.5,1.1398193359375002,735,32.517006802721085,1.509778899421261,1063.0267275999151,24.985152145496922,44.55583393049118,1.7832924799107732,1.3651092479641975,1.5707576300822486
2,2.0,15,2.0,0.9555908203125,745,24.832214765100673,1.625125550066462,1061.797154694718,24.988721158823648,44.532871278513,1.7821188605639473,1.3127495863710108,1.758973358967448
1,1.5,25,1.5,1.1864746093749998,736,31.38586956521739,1.5115167870106567,1056.1760852540378,24.98742105225608,44.42763232903859,1.7779999078787394,1.345771552240769,1.580812374347386
1,1.5,30,1.5,1.1864746093749998,735,31.428571428571427,1.5008878913494108,1046.3258662485234,24.98069508487757,44.24216113634101,1.7710540473761136,1.3570383162948043,1.5613639864151676
4,2.0,15,2.0,0.7007812499999999,742,20.350404312668463,1.7615643085360941,1040.88573358388,24.979103680684304,44.139146790877426,1.7670428593084022,1.3970354415380448,1.9291872578472005
2,1.0,15,2.0,0.8335693359375,749,30.173564753004005,1.5981456116479236,1025.2499944500678,24.9988938750787,43.84072672277064,1.75370666165655,1.3004113040758274,1.7172423164578674
1,1.0,30,2.0,1.1398193359375002,735,32.517006802721085,1.5030937981043861,1021.0540865742828,24.991503213759618,43.76004510585636,1.7509969180950795,1.3592709301807395,1.5649436044862068
1,1.5,25,2.0,1.1864746093749998,735,31.428571428571427,1.5055300874469943,1018.3092752834757,24.98755028090799,43.707127151591685,1.7491561461703828,1.346982414775507,1.5721276155490491
2,2.0,15,2.5,0.956787109375,742,24.932614555256063,1.5982618867750806,1012.5036688573969,24.984003002987787,43.59483468051084,1.7449099199714884,1.299238597096258,1.731127621078774
1,1.5,30,2.0,1.1864746093749998,735,31.428571428571427,1.4952356590882594,1009.1319846143281,24.98543110976313,43.52939052377973,1.7421908924665501,1.3509839129334862,1.556887674919579
2,1.0,0,0.0,0.8527099609375001,733,30.42291950886767,1.5258804089462563,997.521557893997,24.979163282539027,43.3027318268252,1.7335541361825655,1.331449967264,1.6111145047976887
1,1.25,30,1.5,1.1398193359375002,735,31.97278911564626,1.4972530770657642,985.6688724560598,24.992776171500058,43.069232054081,1.7232672256391435,1.3668589901112205,1.5522991944891849
2,1.0,15,2.5,0.8323730468750001,744,30.241935483870968,1.5700287142945182,985.3523468148729,24.98172875150152,43.06296680677624,1.7237784956810864,1.297924306909657,1.6845439872278714
4,2.0,25,2.0,0.631396484375,735,20.680272108843536,1.7326528084802164,984.8887357631576,24.989901954459665,43.0537873760245,1.7228473906973925,1.431064152418543,1.8841369779223947
2,1.0,20,2.5,0.8335693359375,739,30.446549391069013,1.56695261467419,981.9996150595109,24.998941365462674,42.99650797633869,1.7199331502789388,1.3372915624060508,1.6634575053962202
