year,kind,S,k,round,n,hit
2024-25,weekly,12.5,5,False,106,0.18867924528301888
2024-25,weekly,12.5,6,False,106,0.16037735849056603
2024-25,weekly,12.5,7,False,106,0.25471698113207547
2024-25,weekly,12.5,8,False,106,0.25471698113207547
2024-25,weekly,12.5,9,False,106,0.25471698113207547
2024-25,weekly,12.5,10,False,106,0.19811320754716982
2024-25,weekly,12.5,11,False,106,0.16037735849056603
2024-25,weekly,25.0,0,True,106,0.14150943396226415
2024-25,weekly,25.0,1,False,106,0.16981132075471697
2024-25,weekly,25.0,2,False,106,0.2169811320754717
2024-25,weekly,25.0,3,False,106,0.2358490566037736
2024-25,weekly,25.0,4,False,106,0.27358490566037735
2024-25,weekly,25.0,5,False,106,0.20754716981132076
2024-25,weekly,25.0,6,False,106,0.22641509433962265
2024-25,weekly,25.0,7,False,106,0.16981132075471697
2024-25,weekly,25.0,8,False,106,0.16981132075471697
2024-25,weekly,25.0,9,False,106,0.19811320754716982
2024-25,weekly,25.0,10,False,106,0.2169811320754717
2024-25,weekly,25.0,11,False,106,0.22641509433962265
2024-25,weekly,50.0,0,True,106,0.19811320754716982
2024-25,weekly,50.0,1,False,106,0.2169811320754717
2024-25,weekly,50.0,2,False,106,0.2169811320754717
2024-25,weekly,50.0,3,False,106,0.22641509433962265
2024-25,weekly,50.0,4,False,106,0.19811320754716982
2024-25,weekly,50.0,5,False,106,0.1792452830188679
2024-25,weekly,50.0,6,False,106,0.19811320754716982
2024-25,weekly,50.0,7,False,106,0.19811320754716982
2024-25,weekly,50.0,8,False,106,0.2358490566037736
2024-25,weekly,50.0,9,False,106,0.2169811320754717
2024-25,weekly,50.0,10,False,106,0.18867924528301888
2024-25,weekly,50.0,11,False,106,0.1792452830188679
2024-25,weekly,100.0,0,True,106,0.19811320754716982
2024-25,weekly,100.0,1,False,106,0.18867924528301888
2024-25,weekly,100.0,2,False,106,0.14150943396226415
2024-25,weekly,100.0,3,False,106,0.18867924528301888
2024-25,weekly,100.0,4,False,106,0.19811320754716982
2024-25,weekly,100.0,5,False,106,0.16981132075471697
2024-25,weekly,100.0,6,False,106,0.18867924528301888
2024-25,weekly,100.0,7,False,106,0.2169811320754717
2024-25,weekly,100.0,8,False,106,0.2358490566037736
2024-25,weekly,100.0,9,False,106,0.19811320754716982
2024-25,weekly,100.0,10,False,106,0.1792452830188679
2024-25,weekly,100.0,11,False,106,0.2358490566037736
2024-25,weekly,250.0,0,True,106,0.1509433962264151
2024-25,weekly,250.0,1,False,106,0.2169811320754717
2024-25,weekly,250.0,2,False,106,0.19811320754716982
2024-25,weekly,250.0,3,False,106,0.14150943396226415
