year,S,k,round,config,n,pf,exp,net_R,net_usd,wr,dd,tp,sl,time,hold
2024-25,50.0,3,False,yotov,309,1.0324323838167973,0.02146599933957089,6.632993795927405,77.19000000000003,33.980582524271846,19.408322388091445,88,199,22,413.26851666666664
2024-25,50.0,4,False,yotov,297,0.9782932722513152,-0.014479173377708099,-4.300314493179306,-72.88800000000003,34.68013468013468,24.315247863833964,82,192,23,400.9510333333333
2024-25,50.0,5,False,yotov,310,0.9801191669965574,-0.013075272718781852,-4.053334542822374,-53.65700000000002,34.516129032258064,29.174054939666682,86,196,28,382.51500833333336
2024-25,50.0,6,False,yotov,315,1.0180648477539138,0.011865997029657004,3.737789064341956,32.49300000000006,33.96825396825397,17.939379893076715,90,202,23,398.89778333333334
2024-25,50.0,7,False,yotov,325,1.0453203135106304,0.029241080837203955,9.503351272091285,113.45600000000007,35.07692307692308,25.235327285200956,93,206,26,281.7361666666667
2024-25,50.0,8,False,yotov,308,1.1585406284060946,0.09957728818101608,30.669804759752953,457.8159999999999,35.714285714285715,18.274155113054825,95,188,25,330.2218833333333
2024-25,50.0,9,False,yotov,304,1.096310376662449,0.061336869205780874,18.646408238557385,280.073,35.526315789473685,10.699545942412986,88,191,25,329.1146166666667
2024-25,50.0,10,False,yotov,309,0.9961725244493236,-0.002563345734108422,-0.7920738318395024,-8.363,33.33333333333333,14.966673265407785,86,202,21,412.60768333333334
2024-25,50.0,11,False,yotov,297,1.0265975568249524,0.017676136550047634,5.249812555364147,94.11200000000002,34.00673400673401,17.543471704053484,86,194,17,527.1965666666666
2024-25,100.0,0,True,yotov,77,1.0284009092111532,0.015285051064037877,1.1769489319309165,25.945,44.15584415584416,10.57451959876433,11,39,27,1670.9576833333333
2024-25,100.0,0,True,no-filter,254,0.005831125331678133,-1.7094510019178335,-434.2005544871297,-634.784,0.39370078740157477,434.2005544871296,1,253,0,0.0275
2024-25,100.0,0,True,tol-target,78,1.1262982738868053,0.06548033306707975,5.10746597923222,145.134,46.15384615384615,9.775253419570006,18,38,22,1440.9230333333333
2024-25,100.0,0,True,wide-stop,64,0.9105540960981497,-0.04400552827129584,-2.816353809362934,-120.71399999999994,46.875,9.438165160602741,10,29,25,1896.1614333333332
2024-25,100.0,0,True,long-clock,78,1.177384800208835,0.11401166382237367,8.892909778145146,264.6919999999999,37.17948717948718,14.318475822428423,23,49,6,1618.7221833333333
2024-25,100.0,1,False,yotov,83,0.8702426871877202,-0.07596418321803912,-6.305027207097247,-195.33,36.144578313253014,15.133042488034905,12,44,27,1175.70625
2024-25,100.0,2,False,yotov,87,0.866547669445054,-0.0783735119966197,-6.818495543705914,-217.18800000000002,37.93103448275862,18.031754651498858,12,47,28,1241.9699333333333
2024-25,100.0,3,False,yotov,89,0.9698246599643557,-0.01664563966344871,-1.4814619300469352,-36.16499999999994,37.07865168539326,10.013273945809336,15,46,28,1662.3208666666667
2024-25,100.0,4,False,yotov,86,1.057232106120528,0.03291166805297431,2.8304034525557906,103.70900000000002,39.53488372093023,7.616802861175055,18,45,23,1612.8817583333334
2024-25,100.0,5,False,yotov,78,1.1476461350022362,0.07772785016161354,6.062772312605857,197.37600000000006,42.30769230769231,9.574903977393523,15,37,26,1731.9567916666665
2024-25,100.0,6,False,yotov,73,1.5591199367412973,0.2515790865159554,18.365273315664744,544.117,46.57534246575342,4.63736793129414,15,27,31,2000.8036166666666
2024-25,100.0,7,False,yotov,67,1.4229948549536362,0.19039381480889755,12.756385592196136,386.68399999999997,49.25373134328358,4.307487874033816,12,25,30,2056.165883333333
2024-25,100.0,8,False,yotov,68,1.3735383783608288,0.17257451582550537,11.735067076134365,359.69,45.588235294117645,7.593714525748516,11,29,28,1864.94495
2024-25,100.0,9,False,yotov,69,1.2693701561813016,0.1316383918153528,9.083049035259343,277.67999999999995,46.3768115942029,4.033421096089729,11,31,27,2622.8822333333333
2024-25,100.0,10,False,yotov,78,1.273526224012415,0.12728348955345578,9.928112185169551,311.89700000000005,47.43589743589743,4.524980493577148,13,33,32,2197.6299916666667
