t_ms,dir,entry,pnl_usd,pnl_R,tag,hold_min,year,S
1746742178103,-1,3284.509,-15.496,-1.0003227680588729,SL,36.12681666666667,2024-25,50.0
1746749507422,1,3315.445,-43.64,-2.8255098737455486,SL,3949.003816666667,2024-25,50.0
1747020327234,-1,3234.615,-15.68,-1.019174520636984,SL,1284.9434333333334,2024-25,50.0
1747104674113,1,3265.365,-15.38,-1.0009762447120079,SL,265.69395,2024-25,50.0
1747129215437,-1,3234.615,-15.41,-1.0016249593760156,SL,113.91601666666666,2024-25,50.0
1747175215440,-1,3234.515,34.515,2.228931223764934,TP,618.7757166666667,2024-25,50.0
1747272802776,-1,3134.505,-15.51,-1.0009680542110357,SL,66.73568333333333,2024-25,50.0
1747280478967,-1,3134.565,-15.61,-1.0113378684807257,SL,28.405883333333332,2024-25,50.0
1747285787135,1,3165.445,34.555,2.237293622531564,TP,300.52225,2024-25,50.0
1747308301971,1,3215.475,34.525,2.231017770597738,TP,437.7796,2024-25,50.0
1747339933840,-1,3234.285,34.285,2.181673560292714,TP,481.81778333333335,2024-25,50.0
1747378253635,-1,3184.225,-15.91,-1.0085578446909667,SL,554.4317666666667,2024-25,50.0
1747591205193,1,3220.375,29.625,1.4539877300613497,TP,2315.65715,2024-25,50.0
1747731951125,-1,3234.365,-15.7,-1.0041573393028462,SL,51.64965,2024-25,50.0
1747735408360,1,3265.325,34.675,2.2626427406199023,TP,487.51785,2024-25,50.0
1747791973063,1,3315.655,-16.48,-1.0526988182689236,SL,402.09933333333333,2024-25,50.0
1747826252522,1,3315.342,-15.397,-1.0035849302568114,SL,1151.2323166666667,2024-25,50.0
1747897203835,-1,3284.625,-15.38,-1.0003252032520324,SL,43.29451666666667,2024-25,50.0
1747905279051,1,3315.262,-16.244,-1.0643428122133403,SL,36.615566666666666,2024-25,50.0
1747912042301,-1,3284.298,-15.717,-1.0009552923194498,SL,82.20821666666667,2024-25,50.0
1747961230047,1,3315.402,34.598,2.2463316452408777,TP,433.3156,2024-25,50.0
1748006816788,1,3365.312,-15.537,-1.014694357366771,SL,3158.1169,2024-25,50.0
1748204135830,-1,3334.115,-16.007,-1.007680201447907,SL,110.81126666666667,2024-25,50.0
1748228497028,-1,3334.665,-15.37,-1.002282360612977,SL,1033.40905,2024-25,50.0
1748295602245,-1,3334.808,34.808,2.291205897840969,TP,371.08641666666665,2024-25,50.0
1748377879311,1,3315.435,-15.57,-1.0087463556851313,SL,75.19023333333334,2024-25,50.0
1748403777876,1,3315.402,-15.464,-1.0040254512400988,SL,357.7285,2024-25,50.0
1748451085514,-1,3281.62,31.62,1.720348204570185,TP,256.23786666666666,2024-25,50.0
1748469969577,1,3265.352,34.648,2.2569046378322044,TP,529.8744833333334,2024-25,50.0
1748507754936,1,3315.321,-15.516,-1.0127276287448599,SL,825.5931666666667,2024-25,50.0
1748592606021,-1,3284.548,-15.474,-1.0014237639140564,SL,2.8979,2024-25,50.0
1748598350584,-1,3284.465,-15.66,-1.0080463469584808,SL,3374.241666666667,2024-25,50.0
1748804214122,1,3315.465,34.535,2.2331070158422244,TP,494.61245,2024-25,50.0
1748857408223,1,3365.272,-15.337,-1.0042561550550027,SL,1343.55615,2024-25,50.0
1748945015225,-1,3334.678,-15.407,-1.0055475786450856,SL,40.50313333333333,2024-25,50.0
1748986321228,1,3365.365,-15.377,-1.0007809957696063,SL,233.42116666666666,2024-25,50.0
1749008144237,1,3365.345,-15.76,-1.0270446399478657,SL,191.03981666666667,2024-25,50.0
1749031704370,1,3365.402,34.598,2.2463316452408777,TP,1249.3615333333332,2024-25,50.0
1749113357509,-1,3383.0,33.0,1.9411764705882353,TP,170.77535,2024-25,50.0
1749158684024,1,3365.295,-15.6,-1.0199411572409285,SL,665.3233833333334,2024-25,50.0
1749204832796,-1,3334.714,34.714,2.270966897814994,TP,3511.853633333333,2024-25,50.0
1749433488524,1,3315.365,34.635,2.254149040026033,TP,3285.4182333333333,2024-25,50.0
1749632243152,-1,3333.988,-16.114,-1.00637022233325,SL,448.4664666666667,2024-25,50.0
1749666271168,1,3365.315,-15.38,-1.0042442050277505,SL,553.1992,2024-25,50.0
1749707306526,1,3365.009,34.991,2.331334532613765,TP,853.9794833333333,2024-25,50.0
1749760201724,1,3415.442,34.558,2.2379225488926306,TP,4170.0086,2024-25,50.0
1750010411167,-1,3431.545,-18.66,-1.011108100785695,SL,13.446816666666667,2024-25,50.0
1750020759155,-1,3434.638,34.638,2.254784533263898,TP,781.3867166666666,2024-25,50.0
1750085829379,-1,3384.605,-15.51,-1.0074699577784996,SL,273.8602,2024-25,50.0
1750115366338,-1,3384.725,-15.42,-1.00949263502455,SL,481.41205,2024-25,50.0
