year,S,k,round,n,p,p_up,p_dn,unres
2025-26,250.0,5,False,19554,0.5005114043162524,0.667961959300542,0.3329923273657289,1491
2025-26,250.0,6,False,21496,0.5004652028284332,0.7416744186046511,0.25916620137725666,1531
2025-26,250.0,7,False,18058,0.5004983940635729,0.6246262872328646,0.37631549795059266,2793
2025-26,250.0,8,False,21568,0.500463649851632,0.5713888373817912,0.42951214987942865,1441
2025-26,250.0,9,False,25396,0.5003543865175618,0.4861417322834646,0.5145715185885318,215
2025-26,250.0,10,False,25782,0.5003878675044605,0.5626308849763437,0.43812553340057414,383
2025-26,250.0,11,False,24092,0.500415075543749,0.540753652058433,0.4600631019594819,301
2024-25,2.5,0,True,892147,0.5099776157964999,0.5171984941513915,0.5027506969254542,6
2024-25,2.5,1,False,894792,0.5099207413566504,0.5170818242954907,0.5027537336961747,26
2024-25,2.5,2,False,894327,0.5099208678704769,0.513918725284846,0.5059197279520337,58
2024-25,2.5,3,False,891903,0.5099624062257891,0.5131485159167425,0.5067736877171809,24
2024-25,2.5,4,False,889533,0.5099406092859962,0.5141757819435486,0.5057019595846904,4
2024-25,2.5,5,False,886105,0.5099632662043437,0.5199352937725896,0.4999830650460292,11
2024-25,2.5,6,False,887757,0.5100269555745548,0.5172015430381999,0.5028465307483919,15
2024-25,2.5,7,False,889286,0.5099754184817933,0.5138605692601327,0.506087120862704,1
2024-25,2.5,8,False,887761,0.5100201518201408,0.5130104826996048,0.5070273340305074,3
2024-25,2.5,9,False,891253,0.5099674278796257,0.5155516076499643,0.504378747640011,15
2024-25,2.5,10,False,891611,0.5100015589758314,0.5191293955680522,0.5008662049898793,11
2024-25,2.5,11,False,893241,0.5099933836445035,0.5132506876570868,0.5067333581223652,9
2024-25,5.0,0,True,447652,0.5050798388033562,0.5174686823124847,0.4926811390158981,18
2024-25,5.0,1,False,438141,0.5051661451450561,0.5086968424895054,0.5016325617290998,58
2024-25,5.0,2,False,435890,0.5051664410745831,0.513222587095709,0.4971035647727377,4
2024-25,5.0,3,False,432242,0.5052447471555286,0.521007159639613,0.4894690552238115,68
2024-25,5.0,4,False,436535,0.5052103496855922,0.5235737805520317,0.4868318528907589,6
2024-25,5.0,5,False,445400,0.5051414458913336,0.5197159644327144,0.49055527354892614,20
2024-25,5.0,6,False,444602,0.5051349296674329,0.522465240930266,0.48779104826878594,26
2024-25,5.0,7,False,456228,0.5049602391786563,0.5124626427463388,0.49745204494224343,110
2024-25,5.0,8,False,453759,0.5049795155578182,0.5244924394628317,0.4854513627083967,34
2024-25,5.0,9,False,455519,0.5050217444277846,0.5244528126330389,0.48557574053902103,95
2024-25,5.0,10,False,451360,0.5050447536334634,0.517987332240776,0.49209184804290973,9
2024-25,5.0,11,False,446289,0.50511215826516,0.5166888408075867,0.4935262893623126,59
2024-25,10.0,0,True,218399,0.5025892975700438,0.5077945497652023,0.49737989666165855,157
2024-25,10.0,1,False,206718,0.5027041670294797,0.512180262076302,0.4932196335407935,117
2024-25,10.0,2,False,208476,0.5027772981062568,0.5373454925539158,0.4681792442870442,93
2024-25,10.0,3,False,214992,0.5027582421671504,0.5356840646823072,0.4698048412764888,203
2024-25,10.0,4,False,222723,0.5026692348791997,0.5379961581961474,0.4673140670337864,91
2024-25,10.0,5,False,227864,0.5026507039286592,0.5372446830911771,0.46802999438044396,21
2024-25,10.0,6,False,229124,0.5025706604284144,0.5297628396419035,0.47535758570705045,18
2024-25,10.0,7,False,229075,0.5025690276110444,0.5301053403269302,0.47501179101088264,16
2024-25,10.0,8,False,227986,0.5025484020948655,0.5363130941106318,0.46875822729267225,20
2024-25,10.0,9,False,229457,0.5025603925790018,0.535318155283129,0.469778351324486,12
2024-25,10.0,10,False,230998,0.5024718828734448,0.527829466086219,0.4770949720670391,10
2024-25,10.0,11,False,223441,0.5025219185377795,0.508965319780967,0.4960734976763344,75
2024-25,12.5,0,True,180597,0.5020681406667885,0.5106882313218868,0.49344146060444916,35
2024-25,12.5,1,False,178481,0.5020646455364997,0.5255110613273593,0.4786000941640697,19
2024-25,12.5,2,False,177437,0.5021500588941427,0.5265399479454216,0.4777411934509043,103
2024-25,12.5,3,False,178300,0.5021144139091419,0.5324385540007176,0.47176713497015127,137
2024-25,12.5,4,False,179825,0.5020881412484359,0.5295562942621767,0.47459890073210353,93
